landmark_id,total
138982,10247
62798,4333
177870,3327
176528,3243
192931,2627
126637,2589
83144,2351
171772,2268
20409,2248
151942,1727
84689,1721
139894,1717
62074,1637
10618,1539
45428,1513
139706,1509
41808,1509
60532,1447
161902,1424
194914,1399
113209,1378
86869,1350
80177,1344
47133,1292
121873,1286
1924,1281
46705,1275
47712,1248
15427,1194
51856,1173
187209,1168
179380,1150
36748,1120
149980,1108
46500,1107
120734,1093
14915,1093
33992,1088
40088,1056
164773,1048
171683,1047
176018,1045
168098,1037
20120,1032
165900,1027
25093,1017
136093,1000
187779,986
9070,978
127516,976
56827,975
105337,968
147897,961
180759,947
165596,946
10419,945
46775,943
202388,941
184313,939
49712,939
47378,931
41648,922
180901,921
57505,914
28139,896
191292,895
181631,891
107917,880
31531,880
88596,880
11544,869
199506,864
38482,855
147828,854
126721,853
108327,852
80019,848
31361,847
160944,846
100631,838
146250,838
186080,837
142809,834
97734,832
51272,827
162833,826
75005,814
115821,807
27190,804
173511,803
65855,795
146497,792
70644,790
18786,788
85758,787
142644,782
25847,780
67416,775
190931,768
107750,766
176956,763
6208,746
37394,742
48522,740
24852,739
158844,738
145310,737
85633,735
13755,734
76303,733
44796,726
110398,722
113750,713
21353,709
55623,697
145015,694
109169,686
143710,684
182973,683
171150,682
190822,676
189811,676
177194,672
178519,666
15445,660
107164,659
101399,654
152827,644
80272,640
189907,637
120885,637
142343,636
73300,631
21253,621
171435,620
111311,620
50798,619
51699,615
182908,612
97142,611
20102,611
113145,610
121547,607
177305,605
43222,602
64792,600
39865,598
20064,597
78197,597
194406,595
